"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","160,577,736","±154,970","2,259,733","±16,711","359,628","±6,362","3,402,927","±19,569","1,319,868","±12,532","18,612,464","±52,781","3,122,003","±16,188","1,827,542","±13,832","491,770","±7,668","373,943","±6,661","10,375,718","±38,721","5,214,843","±23,512","698,891","±7,030","911,559","±10,127","6,191,766","±25,708","3,288,291","±19,810","1,630,985","±9,668","1,452,153","±11,258","2,034,699","±14,934","2,019,287","±16,425","682,588","±8,225","3,143,183","±16,549","3,637,091","±19,487","4,706,068","±22,459","2,959,902","±14,160","1,250,771","±13,439","2,955,341","±18,413","551,763","±6,959","1,015,841","±8,180","1,506,293","±15,372","737,801","±8,363","4,614,699","±20,893","937,793","±10,081","9,399,890","±34,768","5,130,773","±25,512","409,836","±5,718","5,660,462","±26,134","1,829,211","±11,273","2,055,100","±15,888","6,283,929","±23,342","550,424","±7,907","2,448,303","±16,515","459,739","±4,508","3,362,498","±20,422","14,447,795","±47,231","1,715,465","±11,091","337,728","±5,095","4,350,095","±21,009","3,843,589","±20,583","726,863","±10,041","2,991,638","±15,181","287,194","±5,795","1,128,794","±13,714"
"    Car, truck, or van:","124,126,435","±159,640","1,999,134","±18,238","275,148","±6,043","2,584,111","±21,783","1,162,607","±12,042","14,019,086","±53,763","2,266,129","±19,407","1,400,412","±15,159","392,938","±8,657","120,353","±6,117","8,166,018","±46,319","4,145,487","±27,030","552,530","±8,136","739,569","±11,081","4,580,909","±28,291","2,808,145","±19,138","1,371,590","±12,457","1,214,241","±12,844","1,746,697","±15,367","1,757,881","±15,533","533,496","±9,569","2,295,480","±19,871","2,497,667","±24,086","3,854,491","±24,217","2,277,802","±17,042","1,144,066","±14,644","2,463,587","±16,743","442,950","±7,268","865,391","±8,724","1,222,977","±16,242","582,174","±9,923","3,222,481","±24,173","781,776","±10,988","5,222,924","±35,355","4,088,364","±25,871","358,755","±6,585","4,674,339","±27,069","1,594,301","±11,543","1,494,024","±17,730","4,791,010","±26,356","441,244","±8,741","2,078,164","±17,908","393,935","±5,487","2,809,794","±23,046","11,734,159","±53,131","1,325,804","±11,616","260,383","±5,401","3,304,513","±23,379","2,750,759","±25,733","629,470","±10,991","2,444,676","±17,800","242,494","±5,853","1,004,160","±13,529"
"        Drove alone","110,245,368","±174,031","1,820,084","±19,069","231,016","±6,395","2,249,618","±20,949","1,053,234","±13,075","12,187,486","±50,726","2,019,886","±18,466","1,260,309","±14,745","357,857","±8,512","106,315","±5,928","7,233,290","±45,322","3,677,830","±28,308","447,862","±8,901","659,710","±11,202","4,089,987","±29,351","2,490,798","±20,565","1,240,859","±11,951","1,093,613","±13,485","1,545,744","±16,389","1,585,743","±16,503","477,852","±9,489","2,046,832","±21,985","2,238,371","±23,637","3,484,723","±23,996","2,050,351","±16,558","1,024,151","±15,748","2,229,200","±17,501","382,804","±7,943","776,747","±8,883","1,053,747","±14,983","524,218","±9,916","2,840,182","±23,509","687,338","±12,090","4,609,282","±33,763","3,653,753","±27,679","322,810","±6,339","4,234,485","±29,830","1,422,987","±11,399","1,317,823","±18,860","4,322,003","±28,143","398,755","±8,029","1,869,768","±18,255","361,111","±6,365","2,520,406","±23,284","10,283,021","±53,823","1,155,419","±13,246","235,835","±5,853","2,955,039","±25,578","2,415,775","±24,880","569,293","±10,961","2,211,143","±18,428","218,903","±6,115","933,879","±13,048"
"        Carpooled:","13,881,067","±74,104","179,050","±8,357","44,132","±3,969","334,493","±12,023","109,373","±6,395","1,831,600","±27,233","246,243","±10,657","140,103","±7,859","35,081","±3,786","14,038","±2,454","932,728","±20,673","467,657","±14,302","104,668","±6,764","79,859","±5,473","490,922","±13,941","317,347","±12,377","130,731","±6,551","120,628","±7,167","200,953","±9,710","172,138","±8,440","55,644","±4,007","248,648","±10,764","259,296","±10,516","369,768","±11,745","227,451","±9,638","119,915","±7,209","234,387","±10,064","60,146","±4,307","88,644","±5,242","169,230","±10,241","57,956","±5,817","382,299","±12,742","94,438","±8,620","613,642","±16,371","434,611","±14,243","35,945","±3,089","439,854","±12,900","171,314","±6,637","176,201","±8,369","469,007","±15,446","42,489","±4,920","208,396","±9,109","32,824","±3,179","289,388","±10,091","1,451,138","±26,605","170,385","±8,650","24,548","±3,021","349,474","±12,252","334,984","±11,780","60,177","±4,127","233,533","±7,823","23,591","±2,695","70,281","±5,267"
"            In 2-person carpool","10,240,427","±66,366","137,324","±7,832","33,505","±3,041","248,016","±10,655","84,967","±5,410","1,295,561","±22,559","180,543","±9,759","103,259","±6,298","24,360","±3,415","11,201","±2,260","691,908","±17,726","330,754","±12,383","73,111","±5,234","56,069","±4,602","361,887","±11,734","235,949","±11,284","94,195","±5,233","86,855","±6,106","157,727","±9,136","125,938","±7,231","46,398","±3,919","188,419","±8,714","200,032","±9,261","282,230","±9,991","166,995","±7,770","87,211","±5,825","182,593","±8,035","41,471","±3,650","59,818","±4,108","119,603","±7,753","43,431","±4,572","274,126","±11,253","68,297","±7,618","455,269","±15,083","322,832","±12,785","24,403","±2,401","337,005","±11,244","129,133","±5,326","134,621","±7,708","367,639","±13,724","30,934","±3,867","154,163","±7,342","22,529","±2,234","220,446","±8,045","1,052,595","±23,786","123,426","±7,508","19,529","±2,725","259,148","±9,256","252,715","±9,356","48,251","±3,474","176,420","±7,186","15,616","±1,951","55,386","±4,480"
"            In 3-person carpool","2,173,594","±34,968","24,905","±3,425","5,755","±1,344","53,152","±4,929","13,384","±2,240","309,969","±12,669","40,385","±4,420","22,973","±3,785","6,592","±2,352","1,274","±632","145,914","±9,632","84,634","±7,313","16,681","±1,925","13,960","±1,903","77,481","±6,188","47,019","±4,125","19,770","±2,424","20,774","±2,868","28,081","±3,651","29,734","±3,740","5,058","±1,180","36,765","±4,826","31,951","±3,757","52,118","±5,423","35,947","±4,222","21,370","±2,781","32,642","±3,271","9,877","±1,703","18,642","±3,069","31,745","±5,033","8,683","±2,422","62,756","±5,894","17,742","±3,261","86,175","±6,513","71,192","±5,594","7,140","±1,584","57,538","±4,782","26,288","±2,578","26,995","±3,274","57,942","±4,869","7,038","±2,032","31,839","±4,437","6,344","±1,397","48,323","±5,424","244,139","±13,167","25,612","±3,525","2,810","±1,140","53,429","±4,937","44,943","±5,080","6,739","±1,582","36,257","±4,488","5,118","±1,306","9,457","±2,125"
"            In 4-or-more-person carpool","1,467,046","±28,822","16,821","±2,726","4,872","±1,413","33,325","±5,161","11,022","±2,222","226,070","±13,726","25,315","±3,359","13,871","±2,788","4,129","±1,334","1,563","±729","94,906","±7,199","52,269","±5,645","14,876","±3,186","9,830","±1,563","51,554","±5,337","34,379","±3,582","16,766","±3,405","12,999","±2,528","15,145","±2,116","16,466","±2,752","4,188","±879","23,464","±3,483","27,313","±4,085","35,420","±3,589","24,509","±3,071","11,334","±2,149","19,152","±2,662","8,798","±1,748","10,184","±1,772","17,882","±3,014","5,842","±1,919","45,417","±4,486","8,399","±1,718","72,198","±6,376","40,587","±4,786","4,402","±1,335","45,311","±4,926","15,893","±2,271","14,585","±2,899","43,426","±4,202","4,517","±2,031","22,394","±4,024","3,951","±1,224","20,619","±3,192","154,404","±8,744","21,347","±3,427","2,209","±1,162","36,897","±4,156","37,326","±4,157","5,187","±1,588","20,856","±2,665","2,857","±919","5,438","±1,576"
"    Public transportation (excluding taxicab):","5,013,135","±43,467","6,677","±1,592","4,443","±1,247","28,389","±3,449","3,661","±1,117","494,718","±12,512","51,036","±4,843","60,095","±4,914","7,057","±1,850","69,803","±5,336","123,862","±8,928","55,139","±5,367","24,634","±2,828","5,899","±1,284","345,914","±11,600","21,380","±2,815","12,454","±2,385","6,910","±1,817","9,352","±1,984","15,397","±2,438","3,417","±1,081","124,221","±7,358","225,694","±8,785","39,327","±4,367","48,225","±4,014","3,585","±1,089","24,156","±3,434","2,726","±949","4,144","±1,815","33,673","±4,514","2,115","±763","368,372","±12,431","6,465","±1,672","2,018,120","±23,651","25,503","±3,514","1,204","±679","56,064","±5,134","5,188","±975","43,034","±4,253","210,632","±11,494","7,640","±1,702","9,266","±2,040","2,276","±854","13,377","±2,600","122,007","±8,037","23,412","±3,360","2,141","±883","80,783","±5,537","120,911","±6,602","4,305","±1,230","31,567","±3,389","2,765","±1,018","8,464","±1,818"
"        Bus","2,401,748","±31,942","5,967","±1,608","4,353","±1,268","24,956","±3,328","3,661","±1,117","341,164","±11,788","33,093","±4,153","30,231","±4,028","5,363","±1,563","25,098","±3,219","102,151","±7,927","39,857","±4,564","24,448","±2,830","4,830","±1,112","161,548","±8,781","17,857","±2,715","11,914","±2,251","5,996","±1,607","9,068","±1,953","13,582","±2,362","2,341","±857","66,117","±5,466","76,534","±5,671","37,876","±4,287","40,920","±3,763","3,125","±996","20,843","±3,311","2,680","±942","3,779","±1,823","32,766","±4,546","1,586","±695","187,701","±8,510","5,254","±1,393","481,392","±12,705","21,493","±3,543","949","±586","53,969","±5,074","4,426","±819","34,781","±4,196","133,905","±8,609","5,387","±1,412","8,734","±1,987","1,772","±680","12,130","±2,443","107,723","±8,048","15,912","±2,733","1,497","±481","42,546","±4,296","91,329","±6,127","4,053","±1,221","30,365","±3,322","2,726","±1,017","4,542","±1,214"
"        Subway or elevated rail","1,952,645","±26,212","476","±499","0","±170","1,079","±689","0","±208","85,384","±5,092","2,238","±1,014","6,576","±2,241","510","±277","42,891","±4,092","11,078","±2,114","11,353","±2,365","0","±187","270","±330","111,283","±7,085","341","±253","22","±39","275","±309","53","±62","622","±553","59","±104","46,971","±4,580","110,985","±6,235","131","±128","996","±688","0","±217","1,133","±581","0","±182","17","±23","98","±116","46","±78","78,374","±5,855","0","±216","1,357,290","±22,954","532","±369","71","±169","1,354","±638","40","±66","1,976","±1,175","37,996","±4,671","0","±242","55","±94","343","±420","282","±367","3,156","±1,213","1,035","±465","511","±637","29,134","±3,138","5,507","±1,454","0","±203","63","±78","39","±68","1,107","±609"
